partner_name,rating
Miranda-Walker,3.73
"Lara, Peterson and Brown",3.58
Hernandez Group,3.54
Howard Ltd,3.35
Nash-Spencer,3.28
Cooke Inc,3.27
"Monroe, Solis and Howell",3.22
Williams-Sexton,3.22
Peck and Sons,3.10
"Martinez, Adams and Heath",3.08
Phillips LLC,3.08
"Porter, Hampton and Sanchez",3.06
"Gardner, Davis and Weaver",3.00
Figueroa PLC,3.00
Watts PLC,3.00
Mcdonald-Walker,3.00
Williams and Sons,2.95
"Hunt, Peterson and Chavez",2.85
Jones-Yates,2.83
Barker LLC,2.78
"Castro, Howard and Jackson",2.75
Collins-Robles,2.68
"Hawkins, Ward and Wagner",2.64
"Harris, Mosley and Mcbride",2.64
Gonzalez and Sons,2.59
"Jackson, Gallagher and Harrison",2.56
Hernandez-House,2.50
Dunn Ltd,2.47
Ruiz-Dunn,2.00
